trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
2354946,6/30/2014 21:00,6/30/2014 21:05,202,275,98,LaSalle St & Washington St,192,Canal St & Adams St,Subscriber,Male,1962
2354943,6/30/2014 21:00,6/30/2014 21:02,1783,129,68,Clinton St & Tilden St,68,Clinton St & Tilden St,Customer,,
2354942,6/30/2014 21:00,6/30/2014 21:04,83,247,174,Canal St & Madison St,134,Peoria St & Jackson Blvd,Subscriber,Male,1987
2354939,6/30/2014 20:59,6/30/2014 21:08,2627,551,42,Wabash Ave & Cermak Rd,237,Martin Luther King Dr & 29th St,Subscriber,Male,1964
2354937,6/30/2014 20:58,6/30/2014 21:18,2055,1240,19,Loomis St & Taylor St,208,Ashland Ave & 21st St,Customer,,
2354934,6/30/2014 20:57,6/30/2014 21:27,1267,1793,56,Desplaines St & Kinzie St,152,Lincoln Ave & Diversey Pkwy,Customer,,
2354931,6/30/2014 20:57,6/30/2014 21:11,2854,853,43,Michigan Ave & Washington St,90,Millennium Park,Customer,,
2354929,6/30/2014 20:57,6/30/2014 20:58,1783,78,68,Clinton St & Tilden St,68,Clinton St & Tilden St,Customer,,
2354916,6/30/2014 20:54,6/30/2014 21:18,1706,1467,19,Loomis St & Taylor St,208,Ashland Ave & 21st St,Customer,,
2354914,6/30/2014 20:54,6/30/2014 21:19,2966,1482,19,Loomis St & Taylor St,208,Ashland Ave & 21st St,Customer,,
2354910,6/30/2014 20:53,6/30/2014 21:05,751,729,55,Halsted St & James M Rochford St,273,Michigan Ave & 18th St,Subscriber,Male,1985
2354897,6/30/2014 20:45,6/30/2014 20:49,443,205,325,Clark St & Winnemac Ave,295,Broadway & Argyle St,Subscriber,Female,1983
2354893,6/30/2014 20:48,6/30/2014 20:52,2604,237,115,Sheffield Ave & Wellington Ave,13,Wilton Ave & Diversey Pkwy,Subscriber,Female,1986
2354892,6/30/2014 20:48,6/30/2014 20:52,2714,252,267,Lake Park Ave & 47th St,252,Greenwood Ave & 47th St,Subscriber,Female,1969
2354887,6/30/2014 20:48,6/30/2014 20:55,1689,449,49,Dearborn St & Monroe St,233,Sangamon St & Washington Blvd,Subscriber,Male,1977
2354886,6/30/2014 20:48,6/30/2014 21:00,891,731,288,Larrabee St & Armitage Ave,69,Damen Ave & Pierce Ave,Subscriber,Male,1981
2354878,6/30/2014 20:46,6/30/2014 20:56,354,611,44,State St & Randolph St,43,Michigan Ave & Washington St,Customer,,
2354876,6/30/2014 20:45,6/30/2014 20:48,1482,194,98,LaSalle St & Washington St,44,State St & Randolph St,Subscriber,Male,1982
2354875,6/30/2014 20:45,6/30/2014 20:47,634,124,113,Bissell St & Armitage Ave,327,Sheffield Ave & Webster Ave,Subscriber,Male,1993
2354874,6/30/2014 20:45,6/30/2014 20:57,2198,736,211,St Clair St & Erie St,94,Clark St & Armitage Ave,Subscriber,Female,1973
2354873,6/30/2014 20:44,6/30/2014 20:56,991,672,243,Lincoln Ave & Leavitt St,231,Sheridan Rd & Montrose Ave,Subscriber,Male,1961
2354869,6/30/2014 20:44,6/30/2014 20:54,361,593,283,LaSalle St & Jackson Blvd,36,Franklin St & Jackson Blvd,Subscriber,Male,1977
2354868,6/30/2014 20:44,6/30/2014 20:54,2149,605,283,LaSalle St & Jackson Blvd,36,Franklin St & Jackson Blvd,Subscriber,Male,1971
2354865,6/30/2014 20:43,6/30/2014 21:14,853,1845,294,Broadway & Berwyn Ave,310,Damen Ave & Charleston St,Customer,,
2354862,6/30/2014 20:42,6/30/2014 20:48,892,310,156,Clark St & Wellington Ave,340,Clark St & Wrightwood Ave,Subscriber,Female,1981
2354857,6/30/2014 20:42,6/30/2014 20:53,2938,683,94,Clark St & Armitage Ave,94,Clark St & Armitage Ave,Subscriber,Male,1968
2354854,6/30/2014 20:41,6/30/2014 21:01,2628,1221,134,Peoria St & Jackson Blvd,129,Blue Island Ave & 18th St,Subscriber,Male,1985
2354846,6/30/2014 20:38,6/30/2014 20:44,440,398,296,Broadway & Belmont Ave,226,Racine Ave & Belmont Ave,Subscriber,Female,1987
